D12001	Sistematski stomatološki pregled trudnica, stomatološko-zdravstveni odgoj, fluoridacija i prevencija karijesa (sanacija zuba)	
D12002	Ponovni pregled trudnice (6 mjeseci nakon prve posjete, odnosno sanacija zuba)	
D13001	Prvi kurativni stomatološki pregled (prva posjeta u vezi stomatološkog pregleda)	
D13002	Konsultacija kod stomatologa-znači pismeni savjet ili pisano mišljenje o ocjeni stanja pacijenta koje daje stomatolog ili specijalista druge struke na zahtjev stomatologa, odnosno korisnika, koji liječi pacijenta. Ne smije se obračunavati ako konsultovani stomatolog preuzme pacijenta na liječenje	
D13003	Prvi kratki stomatološki pregled (osnovni stomatološki pregled, kratki kontrolni pregled)	
D13004	Selektivno brušenje po pulpi ukljucuje: brušenje u artikulaciji, odstranjivanje kliznih prepreka, selektivno brušenje po zubu. Isključuje se brušenje kod usklađivanja na novu izradu protetskih radova. Obračunava se samo jednom bez obzira na broj posjeta	
D13005	Čitanje običnog intraoralnog snimka zuba	
D13006	Čitanje ortopantomografskog snimka	
D13007	Čitanje snimka panoramske dentalne radiografije	
D13008	Termokauterizacija, elektrokauterizacija (odstranjivanje polipa pulpe ili gingive). Kireta džepova po zubu. Medikamentozna terapija	
D13009	Liječenje desni ili liječenje bolesti usta po posjeti	
D13010	Impregnacija ili zaštita zuba. Podrazumij. i zaštitu brušenih zuba	
D13011	Desenzibilizacija pulpnih vratova po posjeti	
D13012	Jednopovršinska plomba predškolske djece. Isključuje privremeni ispun	
D13013	Dvopovršinska plomba kod predškolske djece. Isključuje privremeni ispun	
D13014	Tropovršinska plomba ili nadogradnja traumatizovane krune zuba, kod i zuba sa strukturnim anomalijama kod predškolske djece. Isključuje privremeni ispun	
D13015	Jednopovršinska plomba kod školske djece do 15-te god. Isključuje privremeni ispun	
D13016	Dvopovršinska plomba kod školske djece do 15-te god. Isključuje privremeni ispun	
D13017	Tropovršinska ili višepovršinska plomba ili dogradjivanje krune sa dentinskim viljkom ili sa krunom zuba ili sa obručem, kod školske djece do 15 god. Isključuje privremeni ispun	
D13018	Jednopovršinski ispun	
D13019	Dvopovršinski ispun	
D13020	Tropovršinski ili višepovršinski ispun ili nadograd. krune zuba	
D13021	Poliranje plombe obuhvata: glačanje ispuna, odstranj. izbočina i slično sa polimim trakama i drugim instrumentima za poliranje	
D13022	Jetkanje cakline	
