page	letter	letter_title	code	section_code	section_title	name_sr_lat	price_eur
4	D	OPERACIJE SA ANESTEZIJOM	D02051	D02	OPERACIJE - HIRURGIJA	HIRURŠKO ZBRINJAVANJE ANALNE FISURE	166.80
4	D	OPERACIJE SA ANESTEZIJOM	D02052	D02	OPERACIJE - HIRURGIJA	KRIPTOTOMIJA, SLOŽENA	166.80
4	D	OPERACIJE SA ANESTEZIJOM	D02054	D02	OPERACIJE - HIRURGIJA	EKSCIZIJA MALIGNIH I BENIGNIH LEZIJA KOŽE I POTKOŽE SA ZATV	208.50
4	D	OPERACIJE SA ANESTEZIJOM	D02056	D02	OPERACIJE - HIRURGIJA	PLEURALNA DRENAŽA-PLASIRANJE DRENA KROZ MEĐUREBARNI PROSTOR	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02057	D02	OPERACIJE - HIRURGIJA	HITNA LIGATURA ZBOG JAKE HEMORAGIJE GLAVNIH KRVNIH SUDOVA UD	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02058	D02	OPERACIJE - HIRURGIJA	SEKUNDARNA SUTURA ABDOMINALNOG ZIDA ZBOG DEHISCENCIJE	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02059	D02	OPERACIJE - HIRURGIJA	ABLACIJA MALIGNOG TUMORA ABDOMINALNOG ZIDA	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02060	D02	OPERACIJE - HIRURGIJA	GASTROTOMIJA RADI ODSTRANJENJA STRANOG TJELA	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02061	D02	OPERACIJE - HIRURGIJA	REVIZIJA CEKOSTOMIJE	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02062	D02	OPERACIJE - HIRURGIJA	RASJECANJE STRIKTURE U REKTUMU	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02063	D02	OPERACIJE - HIRURGIJA	FISTULOTOMIJA ILI FISTULEKTOMIJA, SUBMUSKULARNA	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02064	D02	OPERACIJE - HIRURGIJA	TENDORAFIJA EKSTENZORNE TETIVE ŠAKE, PRIMARNA	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02065	D02	OPERACIJE - HIRURGIJA	LAPAROSKOPSKA APENDEKTOMIJA	250.20
4	D	OPERACIJE SA ANESTEZIJOM	D02066	D02	OPERACIJE - HIRURGIJA	REPARACIJA VENTRALNE HERNIJE BEZ MREŽICE	291.90
4	D	OPERACIJE SA ANESTEZIJOM	D02067	D02	OPERACIJE - HIRURGIJA	REPARACIJA INGVINALNE ILI FEMORALNE HERN MREŽICOM JEDNOSTRAN	291.90
4	D	OPERACIJE SA ANESTEZIJOM	D02068	D02	OPERACIJE - HIRURGIJA	PLASTIKA VENTRALNE HERNIJE SA MESH-PROLEN MREŽICOM	291.90
4	D	OPERACIJE SA ANESTEZIJOM	D02070	D02	OPERACIJE - HIRURGIJA	VAĐENJE INFICIRANOG IMPLANTATA KOD MANJIH PREPONSKIH HERNIJA	291.90
